#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-03-07 16:43:35 EST      (sdww01)
#
# This file contains USGS Surface-Water Annual Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
# parameter_cd
# ts_id
# year_nu    Water year for value
# mean_va    annual-mean value.
#             if there is not complete record
#             for a year this field is blank
#
#
# Sites in this file include:
# USGS 10126000 BEAR RIVER NEAR CORINNE, UT
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		143472	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	mean_va
5s	15s	5s	3n	4s	12n
USGS	10126000	00060	143472	1950	2480
USGS	10126000	00060	143472	1951	2502
USGS	10126000	00060	143472	1952	2445
USGS	10126000	00060	143472	1953	1487
USGS	10126000	00060	143472	1954	842.2
USGS	10126000	00060	143472	1955	950
USGS	10126000	00060	143472	1956	1335
USGS	10126000	00060	143472	1957	1471
USGS	10126000	00060	143472	1964	1290
USGS	10126000	00060	143472	1965	1633
USGS	10126000	00060	143472	1966	1594
USGS	10126000	00060	143472	1967	1456
USGS	10126000	00060	143472	1968	1459
USGS	10126000	00060	143472	1969	1679
USGS	10126000	00060	143472	1970	1210
USGS	10126000	00060	143472	1971	2856
USGS	10126000	00060	143472	1972	2852
USGS	10126000	00060	143472	1973	2051
USGS	10126000	00060	143472	1974	2079
USGS	10126000	00060	143472	1975	2012
USGS	10126000	00060	143472	1976	2230
USGS	10126000	00060	143472	1977	952.2
USGS	10126000	00060	143472	1978	1303
USGS	10126000	00060	143472	1979	1097
USGS	10126000	00060	143472	1980	2034
USGS	10126000	00060	143472	1981	1172
USGS	10126000	00060	143472	1982	1928
USGS	10126000	00060	143472	1983	3992
USGS	10126000	00060	143472	1984	5050
USGS	10126000	00060	143472	1985	3090
USGS	10126000	00060	143472	1986	4281
USGS	10126000	00060	143472	1987	1811
USGS	10126000	00060	143472	1988	725.6
USGS	10126000	00060	143472	1989	830.8
USGS	10126000	00060	143472	1990	630
USGS	10126000	00060	143472	1991	747.8
USGS	10126000	00060	143472	1992	434.9
USGS	10126000	00060	143472	1993	1233
USGS	10126000	00060	143472	1994	771
USGS	10126000	00060	143472	1995	1208
USGS	10126000	00060	143472	1996	1319
USGS	10126000	00060	143472	1997	2532
USGS	10126000	00060	143472	1998	2806
USGS	10126000	00060	143472	1999	2568
USGS	10126000	00060	143472	2000	1246
USGS	10126000	00060	143472	2001	621.6
USGS	10126000	00060	143472	2002	699.3
USGS	10126000	00060	143472	2003	520.2
USGS	10126000	00060	143472	2004	615.7
USGS	10126000	00060	143472	2005	1650
USGS	10126000	00060	143472	2006	1636
USGS	10126000	00060	143472	2007	898.7
USGS	10126000	00060	143472	2008	785.4
USGS	10126000	00060	143472	2009	1278
USGS	10126000	00060	143472	2010	886.8
USGS	10126000	00060	143472	2011	2302
USGS	10126000	00060	143472	2012	1202
USGS	10126000	00060	143472	2013	699.1
USGS	10126000	00060	143472	2014	721.4
USGS	10126000	00060	143472	2015	742.2
USGS	10126000	00060	143472	2016	972.5
USGS	10126000	00060	143472	2017	2499
USGS	10126000	00060	143472	2018	1458
USGS	10126000	00060	143472	2019	1331
USGS	10126000	00060	143472	2020	1211
USGS	10126000	00060	143472	2021	591.7
USGS	10126000	00060	143472	2022	641.7
