#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-03-07 16:46:30 EST      (vaww02)
#
# This file contains USGS Surface-Water Annual Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
# parameter_cd
# ts_id
# year_nu    Water year for value
# mean_va    annual-mean value.
#             if there is not complete record
#             for a year this field is blank
#
#
# Sites in this file include:
# USGS 10171000 JORDAN RIVER @ 1700 SOUTH @ SALT LAKE CITY, UT
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		143716	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	mean_va
5s	15s	5s	3n	4s	12n
USGS	10171000	00060	143716	1944	131.3
USGS	10171000	00060	143716	1945	141
USGS	10171000	00060	143716	1946	145
USGS	10171000	00060	143716	1947	140.1
USGS	10171000	00060	143716	1948	141.2
USGS	10171000	00060	143716	1949	167.1
USGS	10171000	00060	143716	1950	150
USGS	10171000	00060	143716	1951	142.9
USGS	10171000	00060	143716	1952	163.8
USGS	10171000	00060	143716	1953	141.5
USGS	10171000	00060	143716	1954	169
USGS	10171000	00060	143716	1955	144.6
USGS	10171000	00060	143716	1956	168.4
USGS	10171000	00060	143716	1957	148.6
USGS	10171000	00060	143716	1958	136.4
USGS	10171000	00060	143716	1959	167.9
USGS	10171000	00060	143716	1960	145
USGS	10171000	00060	143716	1961	112.8
USGS	10171000	00060	143716	1962	94.7
USGS	10171000	00060	143716	1963	101.7
USGS	10171000	00060	143716	1964	92.3
USGS	10171000	00060	143716	1965	109
USGS	10171000	00060	143716	1966	144.4
USGS	10171000	00060	143716	1967	132.7
USGS	10171000	00060	143716	1968	135.5
USGS	10171000	00060	143716	1969	151.2
USGS	10171000	00060	143716	1970	155.3
USGS	10171000	00060	143716	1971	148.5
USGS	10171000	00060	143716	1972	146.3
USGS	10171000	00060	143716	1973	155.4
USGS	10171000	00060	143716	1974	152.5
USGS	10171000	00060	143716	1975	123.8
USGS	10171000	00060	143716	1976	171.1
USGS	10171000	00060	143716	1977	137.1
USGS	10171000	00060	143716	1978	115.1
USGS	10171000	00060	143716	1979	126.2
USGS	10171000	00060	143716	1980	151.1
USGS	10171000	00060	143716	1981	163.3
USGS	10171000	00060	143716	1982	160.4
USGS	10171000	00060	143716	1983	184.8
USGS	10171000	00060	143716	1984	178.8
USGS	10171000	00060	143716	1985	223.3
USGS	10171000	00060	143716	1986	178.3
USGS	10171000	00060	143716	1987	149.2
USGS	10171000	00060	143716	1988	123.3
USGS	10171000	00060	143716	1989	169.5
USGS	10171000	00060	143716	1990	148.6
USGS	10171000	00060	143716	1991	155.1
USGS	10171000	00060	143716	1992	141
USGS	10171000	00060	143716	1993	104.3
USGS	10171000	00060	143716	1994	131.8
USGS	10171000	00060	143716	1995	109.2
USGS	10171000	00060	143716	1996	123
USGS	10171000	00060	143716	1997	135.8
USGS	10171000	00060	143716	1998	153.5
USGS	10171000	00060	143716	1999	150.5
USGS	10171000	00060	143716	2000	124.2
USGS	10171000	00060	143716	2001	126.5
USGS	10171000	00060	143716	2002	104.7
USGS	10171000	00060	143716	2003	125.4
USGS	10171000	00060	143716	2004	103.6
USGS	10171000	00060	143716	2005	108.9
USGS	10171000	00060	143716	2006	110
USGS	10171000	00060	143716	2007	125.3
USGS	10171000	00060	143716	2008	105
USGS	10171000	00060	143716	2009	95.9
USGS	10171000	00060	143716	2010	124
USGS	10171000	00060	143716	2011	130.4
USGS	10171000	00060	143716	2012	192.6
USGS	10171000	00060	143716	2013	137.1
USGS	10171000	00060	143716	2014	141.7
USGS	10171000	00060	143716	2015	122.8
USGS	10171000	00060	143716	2016	134.4
USGS	10171000	00060	143716	2017	121.3
USGS	10171000	00060	143716	2018	116
USGS	10171000	00060	143716	2019	111.7
USGS	10171000	00060	143716	2020	143.1
USGS	10171000	00060	143716	2021	116.6
USGS	10171000	00060	143716	2022	122.5

