#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-03-07 16:45:12 EST      (vaww02)
#
# This file contains USGS Surface-Water Annual Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
# parameter_cd
# ts_id
# year_nu    Water year for value
# mean_va    annual-mean value.
#             if there is not complete record
#             for a year this field is blank
#
#
# Sites in this file include:
# USGS 10136500 WEBER RIVER AT GATEWAY, UT
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		143543	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	mean_va
5s	15s	5s	3n	4s	12n
USGS	10136500	00060	143543	1921	1195
USGS	10136500	00060	143543	1922	1116
USGS	10136500	00060	143543	1923	1004
USGS	10136500	00060	143543	1924	439.8
USGS	10136500	00060	143543	1925	538.3
USGS	10136500	00060	143543	1926	506.5
USGS	10136500	00060	143543	1927	701.9
USGS	10136500	00060	143543	1928	707.8
USGS	10136500	00060	143543	1929	735.8
USGS	10136500	00060	143543	1930	422.4
USGS	10136500	00060	143543	1931	232.1
USGS	10136500	00060	143543	1932	606.4
USGS	10136500	00060	143543	1933	509.4
USGS	10136500	00060	143543	1934	185
USGS	10136500	00060	143543	1935	356.2
USGS	10136500	00060	143543	1936	734
USGS	10136500	00060	143543	1937	621.7
USGS	10136500	00060	143543	1938	635.9
USGS	10136500	00060	143543	1939	399.3
USGS	10136500	00060	143543	1940	286.2
USGS	10136500	00060	143543	1941	337.2
USGS	10136500	00060	143543	1942	556.5
USGS	10136500	00060	143543	1943	584
USGS	10136500	00060	143543	1944	512.2
USGS	10136500	00060	143543	1945	431.1
USGS	10136500	00060	143543	1946	580.9
USGS	10136500	00060	143543	1947	480.2
USGS	10136500	00060	143543	1948	639.8
USGS	10136500	00060	143543	1949	648.6
USGS	10136500	00060	143543	1950	902.6
USGS	10136500	00060	143543	1951	770.5
USGS	10136500	00060	143543	1952	1139
USGS	10136500	00060	143543	1953	567.7
USGS	10136500	00060	143543	1954	328
USGS	10136500	00060	143543	1955	315.7
USGS	10136500	00060	143543	1956	481.5
USGS	10136500	00060	143543	1957	471.8
USGS	10136500	00060	143543	1958	529.7
USGS	10136500	00060	143543	1959	269.6
USGS	10136500	00060	143543	1960	275.3
USGS	10136500	00060	143543	1961	143.3
USGS	10136500	00060	143543	1962	322.4
USGS	10136500	00060	143543	1963	258.6
USGS	10136500	00060	143543	1964	384
USGS	10136500	00060	143543	1965	654.7
USGS	10136500	00060	143543	1966	417.4
USGS	10136500	00060	143543	1967	419.2
USGS	10136500	00060	143543	1968	506.2
USGS	10136500	00060	143543	1969	752.6
USGS	10136500	00060	143543	1970	469.2
USGS	10136500	00060	143543	1971	675.1
USGS	10136500	00060	143543	1972	735.4
USGS	10136500	00060	143543	1973	602.1
USGS	10136500	00060	143543	1974	741.2
USGS	10136500	00060	143543	1975	799.1
USGS	10136500	00060	143543	1976	490.4
USGS	10136500	00060	143543	1977	172.6
USGS	10136500	00060	143543	1978	533.3
USGS	10136500	00060	143543	1979	407.7
USGS	10136500	00060	143543	1980	703.8
USGS	10136500	00060	143543	1981	327.3
USGS	10136500	00060	143543	1982	760.9
USGS	10136500	00060	143543	1983	1312
USGS	10136500	00060	143543	1984	1378
USGS	10136500	00060	143543	1985	947.9
USGS	10136500	00060	143543	1986	1397
USGS	10136500	00060	143543	1987	450.2
USGS	10136500	00060	143543	1988	211.5
USGS	10136500	00060	143543	1989	306.9
USGS	10136500	00060	143543	1990	229.2
USGS	10136500	00060	143543	1991	282.6
USGS	10136500	00060	143543	1992	193.9
USGS	10136500	00060	143543	1993	489.2
USGS	10136500	00060	143543	1994	322.5
USGS	10136500	00060	143543	1995	626.2
USGS	10136500	00060	143543	1996	575.4
USGS	10136500	00060	143543	1997	814.8
USGS	10136500	00060	143543	1998	738.6
USGS	10136500	00060	143543	1999	625.7
USGS	10136500	00060	143543	2000	274.6
USGS	10136500	00060	143543	2001	221.1
USGS	10136500	00060	143543	2002	186.2
USGS	10136500	00060	143543	2003	142.7
USGS	10136500	00060	143543	2004	184
USGS	10136500	00060	143543	2005	561.2
USGS	10136500	00060	143543	2006	617
USGS	10136500	00060	143543	2007	265.5
USGS	10136500	00060	143543	2008	361.4
USGS	10136500	00060	143543	2009	470.7
USGS	10136500	00060	143543	2010	338
USGS	10136500	00060	143543	2011	1182
USGS	10136500	00060	143543	2012	298
USGS	10136500	00060	143543	2013	161.6
USGS	10136500	00060	143543	2014	213.3
USGS	10136500	00060	143543	2015	183.9
USGS	10136500	00060	143543	2016	227
USGS	10136500	00060	143543	2017	630.6
USGS	10136500	00060	143543	2018	191
USGS	10136500	00060	143543	2019	449.5
USGS	10136500	00060	143543	2020	261.1
USGS	10136500	00060	143543	2021	117.7
USGS	10136500	00060	143543	2022	188.2

